PR-amplitude,RT-interval,PT-slope,DCT,DWT
3140.3590525109344,54,-4.65216053948205,144.0633830464301,-11560.500000000005
3065.330411987924,54,-4.136032215642882,16.662735915195498,-11531.000000000005
2902.7393995004836,55,-4.007659403072354,-8.421461560511881,-11245.000000000004
2999.921195651555,55,-3.756696114330493,12.341920238392524,-11038.000000000007
3211.3445843387026,54,-6.286463272792329,-10.492268003666284,-10943.000000000005
2804.651861456806,55,-2.7035283638064285,14.221275559317476,-11288.000000000005
2977.9072179618975,54,-3.6231052848846645,-13.839265735821389,-11517.000000000007
2858.654119001782,55,-3.424522243603403,21.13731542250558,-11607.500000000007
3061.672191220638,54,-4.478187554929472,-26.867797386072446,-11625.500000000005
2992.080207858708,55,-3.505272570206215,78.35972280454212,-11811.000000000005
2966.3989842530127,55,-3.8514095169543188,198.07536493787416,-9764.500000000004
3049.729631771272,55,-3.7310374296261704,-24.093227053081787,-5480.000000000003
3104.338714045274,54,-4.268101840456349,14.577998262449118,-11205.500000000005
2935.3452072990044,55,-3.3538872603373937,-7.802237065228665,-11277.500000000005
2973.3876184954606,55,-4.919820973384698,6.575604745235237,-11408.500000000002
3193.9896647476203,54,-4.284397830837317,-3.209942000310093,-11396.500000000005
2719.824829491798,55,-3.2289578474227913,3.292823854340745,-11313.500000000005
3122.14887456607,55,-4.47046014445389,-0.23493058330942834,-11243.500000000005
2977.63318067823,55,-4.130296012678559,0.7802857655753548,-11149.000000000004
2984.563315188627,55,-3.807382882149283,15.649262018057847,-11043.000000000004
2983.312457337818,55,-3.4100918779496947,18.41127073298228,-10898.000000000004
2967.9285011427246,55,-4.076759035296234,-2.4687614638243707,-10674.500000000004
3037.6732309323133,55,-3.9096234924189326,3.1987139663002715,-10368.500000000004
2963.3124181315006,54,-3.8867278986117384,-0.1473243565312427,-10005.500000000004
2995.607235436093,55,-3.9746256076239734,1.6796719423129964,-9725.000000000004
3106.863730398373,55,-4.1098337815922985,1.0369006595907493,-9770.500000000004
2936.224190614292,55,-4.297668567880111,1.117263755421817,-10310.000000000007
