PR-amplitude,RT-interval,PT-slope,DCT,DWT
1995.5464526711478,49,3.458880061854941,39.24853436481852,499.00000000000017
2018.8425547528395,49,3.7998767374045017,7.230924401863708,654.5
2074.6340341659766,49,4.038700908477636,-0.8710635582428317,790.5000000000007
2061.724841806193,49,3.4814968475719126,5.476241045048848,840.0000000000005
2070.6926791778014,49,3.540511648849796,-2.542046062975146,747.5000000000002
2034.03099419308,48,3.634348856360768,4.894121486072704,492.0000000000003
2034.0900615433595,49,4.09972075357632,-2.993607050720572,271.0000000000001
2060.6320900237156,49,3.450011094748431,5.720997700251138,149.5000000000001
2002.879816844116,48,3.1198507746690747,-4.185438427253178,139.5
2053.9679483302057,49,3.896223363047909,9.039348438471112,130.0
2021.528842073124,49,3.581822922541201,-7.136618755771048,157.00000000000009
2052.125105371435,49,3.8466518995920977,69.50423611351823,161.50000000000009
2073.8302908353025,49,3.4665099955444294,53.666636725455774,174.50000000000009
2088.8098994614797,49,3.6662235355931116,-5.898645047652305,178.50000000000009
2063.9558060051786,48,3.9477794850357966,6.222453262901281,171.00000000000009
2092.385053190829,49,3.7997534957750405,-2.4172671443484943,139.00000000000009
2023.444744489702,49,2.8695978202866668,3.269844195725746,134.00000000000003
2074.953431644508,50,3.6828562860095975,-0.9311803260372091,131.00000000000003
2047.7017095885778,49,3.6623069439921196,2.3540147963865494,117.50000000000004
2068.7964075026052,49,3.9336059724780257,-0.15802703811636443,121.00000000000004
2053.1514565346592,50,3.6354282673276908,2.007719074630212,96.00000000000007
2015.3489082364927,49,3.097097405115855,0.7926039962936668,111.00000000000004
2016.12811457402,49,3.714054955740164,6.2560704305516115,183.0000000000001
2051.7727422930743,49,3.861192341477278,7.405768762326375,336.0000000000001
2083.0559015037147,49,4.175303640774262,6.788799620260475,403.50000000000017
2003.4226447717285,50,2.896677859388945,1.329862185743199,259.00000000000006
2056.906661069716,49,3.8810043815462576,1.2766430302983787,235.50000000000009
2055.5272399750047,49,3.512696610328342,0.992140301387018,45.50000000000003
2043.2453089792903,49,3.6140639134555372,1.0785295955635648,20.000000000000014
2022.0720557243044,49,3.0086358561859736,1.2066588584430402,53.00000000000003
1985.4938832109374,49,3.433863123832608,1.3194544774987762,105.00000000000001
2021.2346437966162,50,3.88667427669685,1.8291201470710896,145.50000000000006
2051.0286863223064,49,3.724460830142004,4.403893647107198,720.0000000000007
1989.096184381059,48,3.0327879836551364,12.270434722253977,4194.500000000001
2009.8553378021643,50,2.9579739342767386,12.042602912847755,783.5000000000002
2040.5637904084083,49,3.4560706667206595,15.44419346562906,14.999999999999943
2064.9434462515333,49,3.770289254675562,15.981580397079682,356.50000000000017
2049.011126708599,48,3.1153545429868283,3.6062909998910886,400.0000000000003
2039.4767473384381,48,2.980565203165941,1.7429883970509037,423.0000000000001
2011.9961915453912,49,3.3295518156907247,1.9230993492928588,456.0000000000001
2063.6632492015124,49,3.347568177376417,0.9444292892903718,531.0000000000003
2057.9743760886104,50,3.5531921337724115,3.868016434127506,623.5000000000001
2054.6947637097164,49,3.1597858475829756,2.776646259979337,751.5000000000005
1992.866905668747,50,2.4889514560056694,13.376406567801771,927.0000000000005
1997.6944258997667,49,3.3475510713606087,19.724534362398757,1079.5000000000002
2009.0828964300938,49,3.7019039619102143,18.05090729608756,1154.0000000000002
1970.8834263806336,48,2.929768369490496,24.94612935420067,1067.0000000000005
2005.6291242603654,49,2.77164924216607,18.454054088701085,804.0000000000005
2028.4110821969352,49,3.55159653864689,24.573183104491232,553.0000000000002
2032.6013556673847,50,3.9810075025717233,3.1445609501021297,416.5000000000002
2047.411952680904,50,3.5444604298932885,5.009319186175493,387.5000000000001
2061.8973837142644,49,3.1781761639014077,0.3832816073216235,378.5
2043.5175310324569,49,3.503531370904653,3.7743349589373514,389.5000000000002
2001.0136589385684,49,3.570213978603675,2.5925664854537755,396.0000000000001
2039.87016124578,49,3.9435795276281485,7.535547653548598,398.50000000000034
2009.8912622503697,48,3.0924297203039433,9.014348935579346,411.0000000000002
2000.8131711182705,49,3.5017873614092934,4.651544297898718,388.5000000000002
2071.219681734156,49,3.5259432191929845,8.941224392638038,373.0000000000002
2090.720693873251,50,3.8733477777213383,5.457961684083832,352.5000000000001
2074.3799877948195,50,3.5138487286729982,4.956455159626367,339.0000000000001
2062.4571616800836,50,3.133443103501836,5.426289241065469,328.5000000000001
2053.892781103615,49,3.530939219407932,1.5580317422111731,321.0000000000001
2083.4397952062686,49,3.935455812788372,2.097233997118554,313.00000000000006
2076.643926378445,50,3.481504737135773,1.167762757769586,319.00000000000006
2078.5390799641395,49,3.1385582739662796,2.3447789412382543,312.0000000000002
2061.704960857671,49,3.8277959069436647,2.4943855243337225,371.0000000000002
2061.377127500499,49,3.5641860428657726,4.5917242281392845,477.00000000000034
2049.7916534459764,51,3.7318579555355704,2.687827885646276,616.5000000000003
2008.12445893007,51,2.8256609767193277,5.863814174409473,520.0000000000001
2004.2990736389413,49,3.099644465326627,5.939263676842198,430.5000000000001
2053.1152232809122,49,3.82391203275881,5.569615826438548,326.00000000000017
2051.352524680576,50,3.8650455092949914,6.211271695173355,213.50000000000017
2015.2445197296747,49,3.669141962970849,7.5275619686806365,230.5000000000001
2019.9929223658276,49,3.116207115865956,3.8828100312983,273.5000000000001
2052.711875103869,49,3.6244976628073515,4.286673963118663,324.00000000000017
2058.3338431460043,49,4.0792598916775065,4.443879306716848,395.00000000000017
2055.1449620757708,49,3.8441382938668927,5.261173109854577,3632.0000000000014
